ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
0,layer_norm_grad_input_kernel_vectorized,36.42,108,66.81,66.81,65.39,75,44.44,53.01
1,GammaBetaBackwardCUDAKernel_32x32,12.19,108,38.68,38.68,49.91,100,0.09,15.96
2,vectorized_elementwise_kernel,0.02,108,0.40,0.08,6.21,100,0,89.80
3,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.20,100,0,89.30
4,vectorized_elementwise_kernel,15.78,108,69.88,69.88,84.81,100,0,53.72
5,ampere_sgemm_128x64_tn,95.85,108,48.14,2.05,23.96,25,0.36,98.59
6,ampere_sgemm_128x128_nt,98.50,108,31.89,3.98,23.45,25,0.04,77.69
7,reduce_kernel,8.84,108,32.94,32.94,41.52,62.50,8.31,7.38
8,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.21,100,0,91.22
9,vectorized_elementwise_kernel,7.24,108,44.76,38.36,73.71,100,0,52.06
10,vectorized_elementwise_kernel,6.48,108,87.35,87.35,92.46,100,0,48.95
11,vectorized_elementwise_kernel,6.50,108,87.39,87.39,92.56,100,0,48.73
12,vectorized_elementwise_kernel,7.85,108,87.40,87.40,91.97,100,0,48.71
13,vectorized_elementwise_kernel,8.59,108,84.73,84.73,88.64,100,0,61.63
14,vectorized_elementwise_kernel,8.57,108,84.80,84.80,88.74,100,0,61.61
15,vectorized_elementwise_kernel,8.58,108,83.97,83.97,89.37,100,0,61.46
16,vectorized_elementwise_kernel,8.62,108,84.29,84.29,89.37,100,0,61.56
17,vectorized_elementwise_kernel,6.48,108,87.32,87.32,92.43,100,0,48.56
18,vectorized_elementwise_kernel,6.46,108,86.50,86.50,91.90,100,27.67,44.30
19,vectorized_elementwise_kernel,8.58,108,84.97,84.97,88.83,100,0,61.90
20,vectorized_elementwise_kernel,6.48,108,86.65,86.65,91.72,100,27.66,44.08
21,ampere_sgemm_128x32_tn,89.10,108,80.33,2.45,45.63,50,0.13,96.74
22,ampere_sgemm_64x32_sliced1x4_nt,92.96,108,53.01,6.38,23.89,25,0.08,82.76
23,reduce_kernel,11.42,108,60.05,60.05,55.61,62.50,4.91,20.68
24,vectorized_elementwise_kernel,0.04,108,0.57,0.21,6.14,100,0,80.94
25,vectorized_elementwise_kernel,7.31,108,44.25,37.99,72.34,100,0,51.71
26,layer_norm_grad_input_kernel_vectorized,37.29,108,65.73,65.73,64.97,75,44.54,53.42
27,GammaBetaBackwardCUDAKernel_32x32,12.09,108,38.13,38.13,49.91,100,0.09,18.90
28,vectorized_elementwise_kernel,6.60,108,73.12,73.12,87.81,100,29.19,40.74
29,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100,0,92.38
30,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.20,100,0,89.19
31,vectorized_elementwise_kernel,15.44,108,68.87,68.87,84.62,100,0,54.88
32,ampere_sgemm_128x32_tn,87.72,108,80.17,2.46,45.64,50,0.51,97.37
33,ampere_sgemm_64x32_sliced1x4_nt,82.38,108,46.95,6.02,20.82,25,0.07,81.39
34,reduce_kernel,9.44,108,32.03,32.03,41.64,62.50,8.30,7.12
35,vectorized_elementwise_kernel,0.02,108,0.50,0.10,6.21,100,0,89.00
36,vectorized_elementwise_kernel,4.03,108,18.86,18.73,44.20,100,0,53.86
37,vectorized_elementwise_kernel,6.45,108,75.93,75.93,87.91,100,0,45.74
38,reduce_kernel,75.79,108,23.92,23.92,90.24,100,10.44,8.86
39,elementwise_kernel,6.06,108,12.18,3.22,20.33,100,0,86.80
40,vectorized_elementwise_kernel,14.49,108,24.14,4.91,9.28,100,0,99.74
41,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.58,108,29.80,11.58,12.18,12.50,17.00,81.99
42,CatArrayBatchedCopy_aligned16_contig,57.78,108,74.67,74.67,90.96,100,60.00,62.88
43,ampere_sgemm_128x32_tn,88.68,108,80.07,2.25,45.64,50,0.18,97.20
44,ampere_sgemm_128x32_sliced1x4_nt,98.09,108,40.40,4.94,12.50,12.50,0,85.52
45,reduce_kernel,12.10,108,51.50,51.50,57.37,62.50,6.37,19.54
46,vectorized_elementwise_kernel,0.04,108,0.53,0.16,6.16,100,0,84.07
47,vectorized_elementwise_kernel,6.62,108,32.87,32.87,66.48,100,0,51.85
48,layer_norm_grad_input_kernel_vectorized,37.40,108,66.03,66.03,65.21,75,44.54,53.79
49,GammaBetaBackwardCUDAKernel_32x32,12.14,108,38.20,38.20,49.91,100,0.09,18.82
50,vectorized_elementwise_kernel,6.61,108,72.34,72.34,88.09,100,29.24,41.20
51,vectorized_elementwise_kernel,0.02,108,0.46,0.09,6.21,100,0,88.81
52,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.21,100,0,91.46
53,vectorized_elementwise_kernel,15.45,108,69.70,69.70,85.25,100,0,54.38
54,ampere_sgemm_128x64_tn,95.86,108,48.15,2.06,23.96,25,0.36,98.93
55,ampere_sgemm_128x128_nt,98.49,108,31.89,4.00,23.45,25,0.04,77.76
56,reduce_kernel,9.52,108,32.29,32.29,41.84,62.50,8.29,7.11
57,vectorized_elementwise_kernel,0.02,108,0.50,0.10,6.21,100,0,90.89
58,vectorized_elementwise_kernel,7.31,108,43.54,37.30,73.43,100,0,52.12
59,vectorized_elementwise_kernel,6.46,108,87.72,87.72,92.05,100,0,49.01
60,vectorized_elementwise_kernel,6.48,108,87.66,87.66,92.52,100,0,48.98
61,vectorized_elementwise_kernel,7.84,108,87.54,87.54,92.15,100,0,48.54
62,vectorized_elementwise_kernel,8.66,108,84.75,84.75,88.57,100,0,61.84
63,vectorized_elementwise_kernel,8.59,108,84.44,84.44,88.71,100,0,61.28
64,vectorized_elementwise_kernel,8.55,108,84.35,84.35,89.26,100,0,61.18
65,vectorized_elementwise_kernel,8.57,108,84.98,84.98,89.44,100,0,61.95
66,vectorized_elementwise_kernel,6.44,108,87.72,87.72,92.57,100,0,48.54
67,vectorized_elementwise_kernel,6.49,108,86.44,86.44,92.00,100,27.28,44.36
68,vectorized_elementwise_kernel,8.55,108,84.43,84.43,88.64,100,0,61.70
69,vectorized_elementwise_kernel,6.45,108,86.53,86.53,91.89,100,27.48,43.94
70,ampere_sgemm_128x32_tn,89.11,108,80.34,2.44,45.62,50,0.13,96.78
71,ampere_sgemm_64x32_sliced1x4_nt,92.96,108,53.00,6.38,23.89,25,0.09,82.76
72,reduce_kernel,11.51,108,59.43,59.43,56.33,62.50,4.90,20.83
73,vectorized_elementwise_kernel,0.04,108,0.57,0.21,6.13,100,0,84.67
74,vectorized_elementwise_kernel,7.33,108,42.86,36.80,72.52,100,0,51.53
75,layer_norm_grad_input_kernel_vectorized,37.28,108,66.04,66.04,65.24,75,44.62,53.80
76,GammaBetaBackwardCUDAKernel_32x32,12.07,108,38.49,38.49,49.90,100,0.09,18.70
77,vectorized_elementwise_kernel,6.67,108,71.79,71.79,88.25,100,29.20,40.89
78,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100,0,91.64
79,vectorized_elementwise_kernel,0.02,108,0.51,0.10,6.18,100,0,89.41
80,vectorized_elementwise_kernel,15.14,108,68.76,68.76,84.95,100,0,54.41
81,ampere_sgemm_128x32_tn,87.72,108,80.16,2.45,45.63,50,0.52,97.41
82,ampere_sgemm_64x32_sliced1x4_nt,82.12,108,46.80,6.05,20.82,25,0.07,81.42
83,reduce_kernel,9.25,108,31.56,31.56,41.35,62.50,8.27,6.78
84,vectorized_elementwise_kernel,0.02,108,0.51,0.09,6.21,100,0,90.15
85,vectorized_elementwise_kernel,4.12,108,22.84,18.88,43.56,100,0,53.93
86,vectorized_elementwise_kernel,6.56,108,76.46,76.46,87.74,100,0,46.01
87,reduce_kernel,75.79,108,23.97,23.97,90.19,100,10.44,8.84
88,elementwise_kernel,6.06,108,12.11,3.19,20.40,100,0,87.83
89,vectorized_elementwise_kernel,14.49,108,24.14,4.51,9.28,100,0,101.75
90,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.62,108,29.88,11.24,12.17,12.50,16.88,81.87
