id,kShortName,kDemangledName,ground_truth,duration,overlap_ratio,slowdown,ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
1,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",68577,68672,0.0,0.0,0,layer_norm_grad_input_kernel_vectorized,36.42,108,66.81,66.81,65.39,75.0,44.44,53.01
2,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",96578,97346,0.0,0.0,1,GammaBetaBackwardCUDAKernel_32x32,12.19,108,38.68,38.68,49.91,100.0,0.09,15.96
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3712,3744,0.0,0.0,2,vectorized_elementwise_kernel,0.02,108,0.4,0.08,6.21,100.0,0.0,89.8
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3616,3648,0.0,0.0,3,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.2,100.0,0.0,89.3
5,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",37984,37952,0.0,0.0,4,vectorized_elementwise_kernel,15.78,108,69.88,69.88,84.81,100.0,0.0,53.72
6,ampere_sgemm_128x64_tn,ampere_sgemm_128x64_tn,3817671,3817606,0.0,0.0,5,ampere_sgemm_128x64_tn,95.85,108,48.14,2.05,23.96,25.0,0.36,98.59
7,ampere_sgemm_128x128_nt,ampere_sgemm_128x128_nt,3722982,3722756,0.0,0.0,6,ampere_sgemm_128x128_nt,98.5,108,31.89,3.98,23.45,25.0,0.04,77.69
8,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",51265,52609,0.0,0.0,7,reduce_kernel,8.84,108,32.94,32.94,41.52,62.5,8.31,7.38
9,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3968,4000,0.0,0.0,8,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.21,100.0,0.0,91.22
10,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",15904,15968,0.0,0.0,9,vectorized_elementwise_kernel,7.24,108,44.76,38.36,73.71,100.0,0.0,52.06
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",215588,221636,0.04143731162807486,0.6770108477009218,10,vectorized_elementwise_kernel,6.48,108,87.35,87.35,92.46,100.0,0.0,48.95
12,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",219876,358694,1.0,0.6313467590823919,11,vectorized_elementwise_kernel,6.5,108,87.39,87.39,92.56,100.0,0.0,48.73
